Worksheet Calculation Date system = 1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg DOB,Average DOB as Text,Cohort,Species,Sex,Indiv Housing EP Start,Indiv Housing EP End,Social Housing Start,Social Housing End,Social Housing EP Start,Social Housing EP End,Indiv Housing Start,Indiv Housing End,Indiv Housing EP Start,Indiv Housing EP End,Pre-Ind Start,Pre-Ind End,H20 Ind Start,H20 Ind End,Pre-Etoh EP Start,Pre-Etoh EP End,Etoh Ind Start,Etoh Ind End,Pre-Open Access EP Start,Pre-Open Access EP End,22 hr Open Access Start,6 mo Open Access End,6 mos EP Start,6 mos EP End,2nd 6 mos Open Access Start,12 mos Open Access End,12 Mos EP Start,12 Mos EP End,Before With. 1  Start,Before With. 1 End,Withdrawal 1 Start,Withdrawal 1 End,Before With. 2 Start,Before With. 2 End,Withdrawal 2 Start,Withdrawal 2 End,Before With. 3 EP Start,Before With. 3 EP End,Pre-With. 3 EP Start,Pre-With. 3 EP End,Before With. 3 Start,Before With. 3 End,Withdrawal 3 Start,Withdrawal 3 End,Necropsy Start,Necropsy End
2/17/97,Feb 2 1997,1,cyno,M,4/23/02,5/16/02,6/17/02,9/2/02,9/3/02,9/29/02,9/30/02,1/6/03,1/7/03,2/5/03,2/6/03,3/2/03,3/3/03,4/1/03,,,4/2/03,7/7/03,7/8/03,8/10/03,8/11/03,2/2/04,2/3/04,3/7/04,3/8/04,8/29/04,8/30/04,9/26/04,,,,,,,,,,,,,,,,,9/27/04,10/20/04
10/1/99,Oct 1 1999,2,cyno,M,10/5/04,10/29/04,10/30/04,2/14/05,2/15/05,3/11/05,3/12/05,5/23/05,5/24/05,6/17/05,6/18/05,1/23/06,1/24/06,3/22/06,3/23/06,3/29/06,3/30/06,7/10/06,7/11/06,8/9/06,8/10/06,2/11/07,2/12/07,3/2/07,3/3/07,9/23/07,9/24/07,10/12/07,10/13/07,2/24/08,2/25/08,3/23/08,3/24/08,7/30/08,7/31/08,8/27/08,8/28/08,1/25/09,1/26/09,2/13/09,2/14/09,3/15/09,3/16/09,4/12/09,4/13/09,4/24/09
1/20/00,Jan 20 2000,3,cyno,F,,,,,,,,,6/13/06,6/29/06,6/30/06,8/9/06,8/10/06,10/11/06,,,10/12/06,1/14/07,1/15/07,2/25/06,2/26/07,9/3/07,9/4/07,9/20/07,9/21/07,3/31/08,4/1/08,5/12/08,,,,,,,,,,,,,,,,,5/13/08,5/23/08
11/23/99,Nov 23 1999,4,rhesus,M,,,,,,,,,1/7/07,2/5/08,2/6/08,4/1/08,4/2/08,6/3/08,,,6/4/08,9/8/08,9/9/08,10/19/08,10/20/08,4/26/09,4/27/09,5/24/09,5/25/09,1/3/10,1/4/10,2/22/10,,,,,,,,,,,,,,,,,2/23/10,3/3/10
2/21/03,Feb 21 2003,5,rhesus,M,,,,,,,,,10/13/08,10/20/08,,,10/21/08,12/7/08,,,12/8/08,3/11/09,3/12/09,4/12/09,4/13/09,10/11/09,10/12/09,10/13/09,10/14/09,4/14/10,4/15/10,5/10/10,,,,,,,,,,,,,,,,,5/11/10,5/14/10
6/11/06,June 11 2006,6a,rhesus,F,,,,,,,,,5/24/10,6/1/10,,,6/2/10,7/27/10,,,7/28/10,10/31/10,11/1/10,11/21/10,11/22/10,6/5/11,6/6/11,6/15/11,6/16/11,11/2/11,11/3/11,12/11/11,,,,,,,,,,,,,,,,,12/12/11,12/16/11
6/30/06,June 30 2006,6b,rhesus,F,,,,,,,,,11/21/11,12/7/11,,,12/8/11,1/30/12,,,1/31/12,5/6/12,5/7/12,5/16/12,5/17/12,11/14/12,11/15/12,11/22/12,11/23/12,5/14/13,5/15/13,6/5/13,,,,,,,,,,,,,,,,,6/6/13,6/10/13
4/29/06,April 29 2006,7a,rhesus,M,,,,,,,,,7/12/10,7/18/10,,,7/19/10,8/30/10,,,8/31/10,12/8/10,12/9/10,1/2/11,1/3/11,7/17/11,7/18/11,8/1/11,8/2/11,1/8/12,1/9/12,2/14/12,,,,,,,,,,,,,,,,,2/15/12,3/5/12
5/11/05,May 11 2005,7b,rhesus,M,,,,,,,,,10/7/10,10/11/10,10/12/10,2/7/11,2/8/11,3/17/11,,,3/18/11,6/19/11,6/20/11,7/11/11,7/12/11,1/8/12,1/9/12,1/17/12,1/18/12,7/15/12,7/16/12,7/31/12,,,,,,,,,,,,,,,,,8/1/12,8/11/12
9/4/00,Sept 4 2000,8,cyno,F,,,,,,,,,9/21/10,9/28/10,,,9/29/10,11/29/10,,,11/30/10,3/7/11,3/8/11,3/27/11,3/28/11,10/3/11,10/16/11,10/17/11,,,,,,,,,,,,,,,,,,,,,10/17/11,10/28/11