matrr_number,cohort_broad_title,species,cohort_number,sex,birth_date,necropsy_date,age_at_necropsy,date_of_etoh_onset,age_onset_etoh,etoh_4%_ind,etoh_4%_22hr,lifetime_etoh_4%_mls,lifetime etoh grams,sum_g/kg_ind,sum_g/kg_22hr,lifetime_sum_g/kg,6 mos start,6 mos end,12 mos end,22hr_6mos_avg_g/kg,22hr_12mos_avg_g/kg,
10087,INIA,rhesus,7a,M,4/23/06,3/2/12,5 yrs 10 mos 8 days,8/31/10,4 yrs 4 mos 8 days,23050.6,158165.4,181216,7249,136.1,834.3,970.4,01/03/11,07/17/11,01/08/12,2.2,2.3,
10088,INIA,rhesus,7a,M,3/6/06,2/29/12,5 yrs 11 mos 23 days,8/31/10,4 yrs 5 mos 25 days,22512.1,197936.4,220449,8818,135.5,1024.7,1160.2,01/03/11,07/17/11,01/08/12,2.2,2.8,
10089,INIA,rhesus,7a,M,1/6/06,3/5/12,6 yrs 1 mos 28 days,8/31/10,4 yrs 7 mos 25 days,25051.1,140495.4,165547,6622,141.1,696.0,837.1,01/03/11,07/17/11,01/08/12,1.5,1.9,
10090,INIA,rhesus,7a,M,5/30/06,2/27/12,5 yrs 8 mos 28 days,8/31/10,4 yrs 3 mos 1 days,25734.7,131827.5,157562,6302,134.6,646.5,781.1,01/03/11,07/17/11,01/08/12,1.5,1.8,
10091,INIA,rhesus,7a,M,4/27/06,2/28/12,5 yrs 10 mos 1 days,8/31/10,4 yrs 4 mos 4 days,28766.3,258963.8,287730,11509,140.7,1120.7,1261.4,01/03/11,07/17/11,01/08/12,2.6,3.1,
10092,INIA,rhesus,7a,M,5/15/06,2/27/12,5 yrs 9 mos 12 days,8/31/10,4 yrs 3 mos 16 days,24841.8,124586,149428,5977,140.9,667.8,808.7,01/03/11,07/17/11,01/08/12,1.4,1.9,
10093,INIA,rhesus,7a,M,3/15/06,2/28/12,5 yrs 11 mos 13 days,8/31/10,4 yrs 5 mos 16 days,control,control,0,0,control,control,0.0,01/03/11,07/17/11,01/08/12,control,control,
10094,INIA,rhesus,7a,M,3/15/06,3/1/12,5 yrs 11 mos 15 days,8/31/10,4 yrs 5 mos 16 days,control,control,0,0,control,control,0.0,01/03/11,07/17/11,01/08/12,control,control,
10095,INIA,rhesus,7a,M,4/15/06,2/29/12,5 yrs 10 mos 14 days,8/31/10,4 yrs 4 mos 16 days,control,control,0,0,control,control,0.0,01/03/11,07/17/11,01/08/12,control,control,
10096,INIA,rhesus,7a,M,4/15/06,3/2/12,5 yrs 10 mos 16 days,8/31/10,4 yrs 4 mos 16 days,control,control,0,0,control,control,0.0,01/03/11,07/17/11,01/08/12,control,control,
10097,INIA,rhesus,7a,M,5/1/06,3/1/12,5 yrs 10 mos 0 days,8/31/10,4 yrs 3 mos 30 days,23585.5,205116.3,228702,9148,141.7,1079.2,1220.9,01/03/11,07/17/11,01/08/12,2.8,3.0,
10098,INIA,rhesus,7a,M,9/5/06,3/5/12,5 yrs 6 mos 0 days,8/31/10,3 yrs 11 mos 26 days,21274,221413.6,242688,9708,141.8,1200.3,1342.1,01/03/11,07/17/11,01/08/12,3.3,3.3,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,